Date,momentum_score_z_weight,liquidity_1m_z_weight,downside_risk_score_z_weight,volatility_score_z_weight
2010-01-31,0.35,0.15,0.25,0.25
2010-02-28,0.35,0.15,0.25,0.25
2010-03-31,0.35,0.15,0.25,0.25
2010-04-30,0.35,0.15,0.25,0.25
2010-05-31,0.35,0.15,0.25,0.25
2010-06-30,0.35,0.15,0.25,0.25
2010-07-31,0.35,0.15,0.25,0.25
2010-08-31,0.35,0.15,0.25,0.25
2010-09-30,0.35,0.15,0.25,0.25
2010-10-31,0.35,0.15,0.25,0.25
2010-11-30,0.35,0.15,0.25,0.25
2010-12-31,0.35,0.15,0.25,0.25
2011-01-31,0.35,0.15,0.25,0.25
2011-02-28,0.35,0.15,0.25,0.25
2011-03-31,0.35,0.15,0.25,0.25
2011-04-30,0.35,0.15,0.25,0.25
2011-05-31,0.35,0.15,0.25,0.25
2011-06-30,0.35,0.15,0.25,0.25
2011-07-31,0.3571794871794872,0.03,0.3987179487179488,0.214102564102564
2011-08-31,0.40566433566433574,0.03,0.3241258741258742,0.24020979020979016
2011-09-30,0.3658579881656805,0.03,0.3221893491124261,0.2819526627218935
2011-10-31,0.3151612903225806,0.03,0.3682795698924732,0.2865591397849462
2011-11-30,0.2747619047619048,0.03,0.3666666666666667,0.32857142857142857
2011-12-31,0.2146153846153846,0.03,0.3853846153846153,0.37
2012-01-31,0.1452475247524752,0.03,0.41039603960396037,0.41435643564356434
2012-02-29,0.07231213872832368,0.03,0.4615606936416185,0.4361271676300578
2012-03-31,0.11808743169398908,0.03,0.4237704918032787,0.4281420765027323
2012-04-30,0.07253164556962023,0.03,0.4474683544303798,0.44999999999999996
2012-05-31,0.11457478005865102,0.03,0.4347507331378299,0.42067448680351904
2012-06-30,0.06999999999999999,0.03,0.45555555555555566,0.44444444444444436
2012-07-31,0.09691131498470947,0.03,0.45122324159021404,0.4218654434250765
2012-08-31,0.06999999999999999,0.03,0.4958015267175574,0.4041984732824427
2012-09-30,0.06999999999999999,0.03,0.8500000000000001,0.05
2012-10-31,0.06999999999999999,0.03,0.4629032258064517,0.4370967741935483
2012-11-30,0.06999999999999999,0.03,0.4913793103448277,0.4086206896551723
2012-12-31,0.35,0.15,0.25,0.25
2013-01-31,0.35,0.15,0.25,0.25
2013-02-28,0.06999999999999999,0.03,0.442857142857143,0.45714285714285713
2013-03-31,0.06999999999999999,0.03,0.4560301507537689,0.4439698492462312
2013-04-30,0.16180327868852457,0.03,0.3942622950819672,0.4139344262295081
2013-05-31,0.06999999999999999,0.13909090909090954,0.1954545454545451,0.5954545454545453
2013-06-30,0.12945945945945947,0.08405405405405413,0.4121621621621621,0.37432432432432433
2013-07-31,0.27909090909090917,0.34818181818181837,0.2409090909090908,0.13181818181818172
2013-08-31,0.24049180327868863,0.03,0.3057377049180327,0.4237704918032787
2013-09-30,0.3488571428571429,0.03,0.2785714285714286,0.34257142857142864
2013-10-31,0.35199233716475103,0.03,0.29521072796934866,0.3227969348659004
2013-11-30,0.3567469879518073,0.03,0.32469879518072287,0.2885542168674699
2013-12-31,0.2930179028132993,0.03,0.3569053708439897,0.320076726342711
2014-01-31,0.23528925619834712,0.03,0.3871900826446281,0.3475206611570248
2014-02-28,0.37036101083032497,0.03,0.3243682310469314,0.2752707581227437
2014-03-31,0.4407317073170733,0.03,0.27926829268292686,0.25
2014-04-30,0.5382926829268293,0.03,0.225609756097561,0.20609756097560972
2014-05-31,0.3955172413793104,0.03,0.3203448275862069,0.25413793103448273
2014-06-30,0.8242857142857143,0.03,0.05000000000000008,0.09571428571428568
2014-07-31,0.44575757575757574,0.03,0.23181818181818192,0.2924242424242424
2014-08-31,0.5728571428571428,0.03,0.34714285714285725,0.05
2014-09-30,0.06999999999999999,0.03,0.471505376344086,0.4284946236559139
2014-10-31,0.06999999999999999,0.03,0.8500000000000001,0.05
2014-11-30,0.06999999999999999,0.03,0.5045454545454545,0.39545454545454545
2014-12-31,0.06999999999999999,0.03,0.29347826086956524,0.606521739130435
2015-01-31,0.06999999999999999,0.03,0.3396551724137931,0.560344827586207
2015-02-28,0.06999999999999999,0.03,0.11666666666666667,0.7833333333333334
2015-03-31,0.06999999999999999,0.03,0.3537974683544304,0.5462025316455696
2015-04-30,0.35,0.15,0.25,0.25
2015-05-31,0.06999999999999999,0.03,0.26666666666666666,0.6333333333333334
2015-06-30,0.06999999999999999,0.03,0.4202479338842975,0.4797520661157025
2015-07-31,0.12981308411214953,0.048691588785046785,0.38271028037383176,0.43878504672897195
2015-08-31,0.06999999999999999,0.10441860465116286,0.4081395348837209,0.4174418604651163
2015-09-30,0.20559322033898308,0.09440677966101699,0.3415254237288135,0.35847457627118645
2015-10-31,0.06999999999999999,0.09722689075630259,0.38613445378151257,0.4466386554621848
2015-11-30,0.06999999999999999,0.7847169811320756,0.05,0.09528301886792447
2015-12-31,0.06999999999999999,0.07848484848484859,0.3651515151515151,0.4863636363636363
2016-01-31,0.06999999999999999,0.15160000000000004,0.3636,0.41479999999999995
2016-02-29,0.06999999999999999,0.03,0.505,0.39499999999999996
2016-03-31,0.06999999999999999,0.03,0.5088235294117648,0.39117647058823524
