Date,momentum_score_z_weight,liquidity_1m_z_weight,volatility_score_z_weight
1998-12-31,0.3333333333,0.3333333333,0.3333333333
1999-01-31,0.3333333333,0.3333333333,0.3333333333
1999-02-28,0.3333333333,0.3333333333,0.3333333333
1999-03-31,0.3333333333,0.3333333333,0.3333333333
1999-04-30,0.3333333333,0.3333333333,0.3333333333
1999-05-31,0.3333333333,0.3333333333,0.3333333333
1999-06-30,0.3333333333,0.3333333333,0.3333333333
1999-07-31,0.3333333333,0.3333333333,0.3333333333
1999-08-31,0.3333333333,0.3333333333,0.3333333333
1999-09-30,0.3333333333,0.3333333333,0.3333333333
1999-10-31,0.3333333333,0.3333333333,0.3333333333
1999-11-30,0.3333333333,0.3333333333,0.3333333333
1999-12-31,0.3333333333,0.3333333333,0.3333333333
2000-01-31,0.3333333333,0.3333333333,0.3333333333
2000-02-29,0.3333333333,0.3333333333,0.3333333333
2000-03-31,0.3333333333,0.3333333333,0.3333333333
2000-04-30,0.3333333333,0.3333333333,0.3333333333
2000-05-31,0.3333333333,0.3333333333,0.3333333333
2000-06-30,0.3333333333,0.3333333333,0.3333333333
2000-07-31,0.3333333333,0.3333333333,0.3333333333
2000-08-31,0.3333333333,0.3333333333,0.3333333333
2000-09-30,0.3333333333,0.3333333333,0.3333333333
2000-10-31,0.3333333333,0.3333333333,0.3333333333
2000-11-30,0.3333333333,0.3333333333,0.3333333333
2000-12-31,0.3333333333,0.3333333333,0.3333333333
2001-01-31,0.3333333333,0.3333333333,0.3333333333
2001-02-28,0.3333333333,0.3333333333,0.3333333333
2001-03-31,0.3333333333,0.3333333333,0.3333333333
2001-04-30,0.3333333333,0.3333333333,0.3333333333
2001-05-31,0.3333333333,0.3333333333,0.3333333333
2001-06-30,0.3333333333,0.3333333333,0.3333333333
2001-07-31,0.3333333333,0.3333333333,0.3333333333
2001-08-31,0.3333333333,0.3333333333,0.3333333333
2001-09-30,0.3333333333,0.3333333333,0.3333333333
2001-10-31,0.3333333333,0.3333333333,0.3333333333
2001-11-30,0.3333333333,0.3333333333,0.3333333333
2001-12-31,0.3333333333,0.3333333333,0.3333333333
2002-01-31,0.3333333333,0.3333333333,0.3333333333
2002-02-28,0.3333333333,0.3333333333,0.3333333333
2002-03-31,0.3333333333,0.3333333333,0.3333333333
2002-04-30,0.3333333333,0.3333333333,0.3333333333
2002-05-31,0.3333333333,0.3333333333,0.3333333333
2002-06-30,0.3333333333,0.3333333333,0.3333333333
2002-07-31,0.3333333333,0.3333333333,0.3333333333
2002-08-31,0.3333333333,0.3333333333,0.3333333333
2002-09-30,0.3333333333,0.3333333333,0.3333333333
2002-10-31,0.3333333333,0.3333333333,0.3333333333
2002-11-30,0.3333333333,0.3333333333,0.3333333333
2002-12-31,0.3333333333,0.3333333333,0.3333333333
2003-01-31,0.3333333333,0.3333333333,0.3333333333
2003-02-28,0.3333333333,0.3333333333,0.3333333333
2003-03-31,0.3333333333,0.3333333333,0.3333333333
2003-04-30,0.3333333333,0.3333333333,0.3333333333
2003-05-31,0.3333333333,0.3333333333,0.3333333333
2003-06-30,0.3333333333,0.3333333333,0.3333333333
2003-07-31,0.3333333333,0.3333333333,0.3333333333
2003-08-31,0.3333333333,0.3333333333,0.3333333333
2003-09-30,0.3333333333,0.3333333333,0.3333333333
2003-10-31,0.3333333333,0.3333333333,0.3333333333
2003-11-30,0.3333333333,0.3333333333,0.3333333333
2003-12-31,0.3333333333,0.3333333333,0.3333333333
2004-01-31,0.3333333333,0.3333333333,0.3333333333
2004-02-29,0.3333333333,0.3333333333,0.3333333333
2004-03-31,0.16666666665,0.66666666665,0.16666666665
2004-04-30,0.3333333333,0.3333333333,0.3333333333
2004-05-31,0.5471093081602615,0.16666666665,0.28622402513973844
2004-06-30,0.53588112433491,0.29745220896509,0.16666666665
2004-07-31,0.5215634606116124,0.31176987268838763,0.16666666665
2004-08-31,0.16666666665,0.66666666665,0.16666666665
2004-09-30,0.5156436393144738,0.2241221535158478,0.2602342071196784
2004-10-31,0.16666666665,0.41006355295332175,0.4232697803466783
2004-11-30,0.66666666665,0.16666666665,0.16666666665
2004-12-31,0.66666666665,0.16666666665,0.16666666665
2005-01-31,0.66666666665,0.16666666665,0.16666666665
2005-02-28,0.19604027721352796,0.19066803335539415,0.6132916893810779
2005-03-31,0.3333333333,0.3333333333,0.3333333333
2005-04-30,0.66666666665,0.16666666665,0.16666666665
2005-05-31,0.66666666665,0.16666666665,0.16666666665
2005-06-30,0.66666666665,0.16666666665,0.16666666665
2005-07-31,0.5055893251296426,0.3277440081703573,0.16666666665
2005-08-31,0.16666666665,0.66666666665,0.16666666665
2005-09-30,0.16666666665,0.66666666665,0.16666666665
2005-10-31,0.66666666665,0.16666666665,0.16666666665
2005-11-30,0.5871020187706053,0.2462313145293947,0.16666666665
2005-12-31,0.5656727213213345,0.2676606119786654,0.16666666665
2006-01-31,0.16666666665,0.4474933480654595,0.38583998523454055
2006-02-28,0.66666666665,0.16666666665,0.16666666665
2006-03-31,0.16666666665,0.6212858192590888,0.2120475140409112
2006-04-30,0.5826325008041444,0.2507008324958556,0.16666666665
2006-05-31,0.66666666665,0.16666666665,0.16666666665
2006-06-30,0.16666666665,0.5320448635277566,0.30128846977224333
2006-07-31,0.3333333333,0.3333333333,0.3333333333
2006-08-31,0.3333333333,0.3333333333,0.3333333333
2006-09-30,0.16666666665,0.5350152584033661,0.298318074896634
2006-10-31,0.16666666665,0.66666666665,0.16666666665
2006-11-30,0.16666666665,0.5476227186816041,0.285710614618396
2006-12-31,0.3895807813140596,0.16666666665,0.4437525519859403
2007-01-31,0.3333333333,0.3333333333,0.3333333333
2007-02-28,0.3333333333,0.3333333333,0.3333333333
