Date,momentum_score_z_ic,liquidity_1m_z_ic,downside_risk_score_z_ic,volatility_score_z_ic
2010-01-31,,,,
2010-02-28,,0.5666666666666667,,
2010-03-31,,0.19999999999999998,,
2010-04-30,-0.45,-0.9,,0.8833333333333333
2010-05-31,-0.43333333333333335,-0.6666666666666667,,0.65
2010-06-30,-0.3666666666666667,0.38333333333333336,,-0.5666666666666667
2010-07-31,0.26666666666666666,-0.8166666666666667,0.6833333333333333,0.6833333333333333
2010-08-31,-0.33333333333333337,0.3666666666666667,-0.2333333333333333,-0.21666666666666667
2010-09-30,0.21666666666666667,0.25,-0.21666666666666667,-0.16666666666666669
2010-10-31,-0.16666666666666669,0.65,-0.5833333333333334,-0.5833333333333334
2010-11-30,0.18333333333333335,0.8499999999999999,-0.7666666666666667,-0.8666666666666667
2010-12-31,0.2833333333333333,0.6,-0.18333333333333335,-0.38333333333333336
2011-01-31,0.21666666666666667,0.18333333333333335,-0.09999999999999999,-0.049999999999999996
2011-02-28,0.31666666666666665,0.25,0.18333333333333335,0.03333333333333333
2011-03-31,-0.38333333333333336,-0.8499999999999999,0.9,0.8499999999999999
2011-04-30,-0.09999999999999999,-0.9333333333333332,0.8333333333333333,0.9166666666666666
2011-05-31,0.08333333333333334,-0.38333333333333336,0.06666666666666667,-0.016666666666666666
2011-06-30,-0.11666666666666665,-0.35,-0.016666666666666666,0.06666666666666667
2011-07-31,0.7999999999999999,-0.9,0.9333333333333332,0.9833333333333333
2011-08-31,0.75,-0.7666666666666667,0.8666666666666667,0.8499999999999999
2011-09-30,-0.9166666666666666,0.8333333333333333,-0.9,-0.8833333333333333
2011-10-31,0.31666666666666665,-0.2833333333333333,0.39999999999999997,0.45
2011-11-30,0.31666666666666665,-0.45,0.65,0.65
2011-12-31,-0.65,0.65,-0.7833333333333333,-0.7833333333333333
2012-01-31,-0.39999999999999997,0.2333333333333333,-0.16666666666666669,-0.33333333333333337
2012-02-29,0.6666666666666667,-0.08333333333333334,0.06666666666666667,0.13333333333333333
2012-03-31,-0.7333333333333334,-0.7666666666666667,0.6666666666666667,0.6
2012-04-30,0.19999999999999998,-0.9333333333333332,0.9500000000000001,0.9166666666666666
2012-05-31,-0.33333333333333337,0.09999999999999999,-0.2333333333333333,-0.2833333333333333
2012-06-30,0.16666666666666669,-0.2833333333333333,0.2833333333333333,0.2333333333333333
2012-07-31,-0.45,0.5666666666666667,-0.5833333333333334,-0.5833333333333334
2012-08-31,0.21666666666666667,-0.11666666666666665,-0.35,-0.33333333333333337
2012-09-30,-0.33333333333333337,-0.03333333333333333,0.16666666666666669,0.33333333333333337
2012-10-31,-0.18333333333333335,-0.21666666666666667,-0.13333333333333333,-0.11666666666666665
2012-11-30,0.5333333333333333,0.6,-0.6833333333333333,-0.7166666666666667
2012-12-31,0.43333333333333335,0.31666666666666665,-0.08333333333333334,-0.06666666666666667
2013-01-31,-0.19999999999999998,-0.65,0.8499999999999999,0.8333333333333333
2013-02-28,-0.03333333333333333,-0.5,0.8333333333333333,0.8166666666666667
2013-03-31,0.45,-0.39999999999999997,0.7333333333333334,0.8166666666666667
2013-04-30,-0.5499999999999999,0.6666666666666667,-0.7333333333333334,-0.6833333333333333
